date,ROI,value,time,injection,pre
20220527,Lt_M1_leg,0.9981471568785549,38,5,0.9999999992199999
20220527,Lt_M1_leg,0.9975770197781101,39,5,0.9999999992199999
20220527,Lt_M1_leg,0.9965909764773411,40,5,0.9999999992199999
20220527,Lt_M1_leg,0.9981412410785502,41,5,0.9999999992199999
20220527,Lt_M1_leg,0.9996740825797458,42,5,0.9999999992199999
20220527,Lt_M1_leg,1.0022513797817563,43,5,0.9999999992199999
20220527,Lt_M1_leg,1.0005246747804093,44,5,0.9999999992199999
20220527,Lt_M1_leg,0.9977827861782707,45,5,0.9999999992199999
20220527,Lt_M1_leg,0.9963189296771288,46,5,0.9999999992199999
20220527,Lt_M1_leg,0.9987324595790114,47,5,0.9999999992199999
20220527,Lt_M1_leg,0.9950027100761022,48,5,0.9999999992199999
20220527,Lt_M1_leg,0.9946364283758166,49,5,0.9999999992199999
20220527,Lt_M1_leg,0.9978155948782962,50,5,0.9999999992199999
20220527,Lt_M1_leg,0.9959595210768485,51,5,0.9999999992199999
20220527,Lt_M1_leg,0.9957965433767213,52,5,0.9999999992199999
20220527,Lt_M1_leg,0.9932835333747613,53,5,0.9999999992199999
20220527,Lt_M1_leg,0.9950765825761598,54,5,0.9999999992199999
20220527,Lt_M1_leg,0.9959612719768498,55,5,0.9999999992199999
20220527,Lt_M1_leg,0.9969067506775874,56,5,0.9999999992199999
20220527,Lt_M1_leg,0.9930218242745571,57,5,0.9999999992199999
20220527,Lt_M1_leg,0.9930397279745711,58,5,0.9999999992199999
20220527,Lt_M1_leg,0.9929351478744894,59,5,0.9999999992199999
20220527,Lt_M1_leg,0.9939607389752894,60,5,0.9999999992199999
20220527,Lt_PU,1.0012422637621865,-4,5,0.99999999824
20220527,Lt_PU,0.9994411669590165,-3,5,0.99999999824
20220527,Lt_PU,0.9972812390552149,-2,5,0.99999999824
20220527,Lt_PU,0.9997848794596215,-1,5,0.99999999824
20220527,Lt_PU,1.0022504507639607,0,5,0.99999999824
20220527,Lt_PU,0.996040905353032,1,5,0.99999999824
20220527,Lt_PU,0.9937554729490097,2,5,0.99999999824
20220527,Lt_PU,0.9985315748574156,3,5,0.99999999824
20220527,Lt_PU,0.9966993601541909,4,5,0.99999999824
20220527,Lt_PU,0.9936923310488985,5,5,0.99999999824
20220527,Lt_PU,0.9966178370540475,6,5,0.99999999824
20220527,Lt_PU,0.9991077683584297,7,5,0.99999999824
20220527,Lt_PU,0.9965897265539979,8,5,0.99999999824
20220527,Lt_PU,0.9992990511587664,9,5,0.99999999824
20220527,Lt_PU,0.9995277289591689,10,5,0.99999999824
20220527,Lt_PU,1.0001334837602351,11,5,0.99999999824
20220527,Lt_PU,0.9991275387584645,12,5,0.99999999824
20220527,Lt_PU,1.000885705761559,13,5,0.99999999824
20220527,Lt_PU,0.9952987174517257,14,5,0.99999999824
20220527,Lt_PU,1.0018034827631743,15,5,0.99999999824
20220527,Lt_PU,0.9999109822598434,16,5,0.99999999824
20220527,Lt_PU,0.9964382046537312,17,5,0.99999999824
20220527,Lt_PU,1.00203399376358,18,5,0.99999999824
20220527,Lt_PU,1.0005857987610312,19,5,0.99999999824
20220527,Lt_PU,1.0018614637632761,20,5,0.99999999824
20220527,Lt_PU,0.9991120002584372,21,5,0.99999999824
20220527,Lt_PU,1.002350457764137,22,5,0.99999999824
20220527,Lt_PU,1.0034549737660807,23,5,0.99999999824
20220527,Lt_PU,1.000087941760155,24,5,0.99999999824
20220527,Lt_PU,0.9994809048590865,25,5,0.99999999824
20220527,Lt_PU,1.00052847476093,26,5,0.99999999824
20220527,Lt_PU,1.0048385097685157,27,5,0.99999999824
20220527,Lt_PU,0.9996097838593132,28,5,0.99999999824
20220527,Lt_PU,1.0007056447612421,29,5,0.99999999824
20220527,Lt_PU,0.9967868047543448,30,5,0.99999999824
20220527,Lt_PU,1.0009349377616454,31,5,0.99999999824
20220527,Lt_PU,1.001534651762701,32,5,0.99999999824
20220527,Lt_PU,1.0024863817643759,33,5,0.99999999824
20220527,Lt_PU,1.0036424117664107,34,5,0.99999999824
20220527,Lt_PU,1.0027758887648857,35,5,0.99999999824
20220527,Lt_PU,1.0061588487708397,36,5,0.99999999824
20220527,Lt_PU,1.0047293457683237,37,5,0.99999999824
20220527,Lt_PU,1.0021305287637499,38,5,0.99999999824
20220527,Lt_PU,1.002611333764596,39,5,0.99999999824
20220527,Lt_PU,1.0023774387641844,40,5,0.99999999824
20220527,Lt_PU,1.0037394437665816,41,5,0.99999999824
20220527,Lt_PU,1.0015842407627884,42,5,0.99999999824
20220527,Lt_PU,1.0008235157614493,43,5,0.99999999824
20220527,Lt_PU,1.0004873907608578,44,5,0.99999999824
20220527,Lt_PU,1.0010667507618776,45,5,0.99999999824
20220527,Lt_PU,1.0016015327628187,46,5,0.99999999824
20220527,Lt_PU,1.0029002447651045,47,5,0.99999999824
20220527,Lt_PU,1.002675537764709,48,5,0.99999999824
20220527,Lt_PU,0.9974394939554936,49,5,0.99999999824
20220527,Lt_PU,1.0045974527680914,50,5,0.99999999824
20220527,Lt_PU,1.0015945357628064,51,5,0.99999999824
20220527,Lt_PU,1.004501142767922,52,5,0.99999999824
20220527,Lt_PU,1.0028657467650437,53,5,0.99999999824
20220527,Lt_PU,0.9985322304574168,54,5,0.99999999824
20220527,Lt_PU,1.0017422427630664,55,5,0.99999999824
20220527,Lt_PU,0.9989182530580961,56,5,0.99999999824
20220527,Lt_PU,0.9991390080584847,57,5,0.99999999824
20220527,Lt_PU,1.0042717587675183,58,5,0.99999999824
20220527,Lt_PU,0.9985408869574319,59,5,0.99999999824
20220527,Lt_PU,1.0004498337607917,60,5,0.99999999824
20220527,Rt_CAU,0.9965160808041807,-4,5,1.0000000011999999
20220527,Rt_CAU,0.9996263042004485,-3,5,1.0000000011999999
20220527,Rt_CAU,0.9984628944018447,-2,5,1.0000000011999999
20220527,Rt_CAU,1.0015671767981194,-1,5,1.0000000011999999
20220527,Rt_CAU,1.0038275437954072,0,5,1.0000000011999999
20220527,Rt_CAU,0.9965343198041589,1,5,1.0000000011999999
20220527,Rt_CAU,0.9988828621013407,2,5,1.0000000011999999
20220527,Rt_CAU,1.000963580798844,3,5,1.0000000011999999
20220527,Rt_CAU,1.0029351767964778,4,5,1.0000000011999999
20220527,Rt_CAU,0.9966039911040753,5,5,1.0000000011999999
20220527,Rt_CAU,0.9985547517017344,6,5,1.0000000011999999
20220527,Rt_CAU,0.998701822901558,7,5,1.0000000011999999
20220527,Rt_CAU,0.9971787918033855,8,5,1.0000000011999999
20220527,Rt_CAU,0.9978011967026387,9,5,1.0000000011999999
20220527,Rt_CAU,1.0045555557945334,10,5,1.0000000011999999
20220527,Rt_CAU,1.003965879795241,11,5,1.0000000011999999
20220527,Rt_CAU,0.9975570428029317,12,5,1.0000000011999999
20220527,Rt_CAU,1.0009839127988196,13,5,1.0000000011999999
20220527,Rt_CAU,1.002670220796796,14,5,1.0000000011999999
20220527,Rt_CAU,1.002034324797559,15,5,1.0000000011999999
20220527,Rt_CAU,1.0031087917962695,16,5,1.0000000011999999
20220527,Rt_CAU,0.9988437151013877,17,5,1.0000000011999999
20220527,Rt_CAU,1.0038589627953693,18,5,1.0000000011999999
20220527,Rt_CAU,1.0014055427983135,19,5,1.0000000011999999
20220527,Rt_CAU,1.0029013737965184,20,5,1.0000000011999999
20220527,Rt_CAU,1.0059652577928417,21,5,1.0000000011999999
20220527,Rt_CAU,1.0011987537985618,22,5,1.0000000011999999
20220527,Rt_CAU,1.002789972796652,23,5,1.0000000011999999
20220527,Rt_CAU,1.0017414217979104,24,5,1.0000000011999999
20220527,Rt_CAU,1.005040816793951,25,5,1.0000000011999999
20220527,Rt_CAU,1.001478498798226,26,5,1.0000000011999999
20220527,Rt_CAU,1.0037340507955193,27,5,1.0000000011999999
20220527,Rt_CAU,1.0034279747958865,28,5,1.0000000011999999
20220527,Rt_CAU,1.0022822867972614,29,5,1.0000000011999999
20220527,Rt_CAU,0.9984302509018839,30,5,1.0000000011999999
20220527,Rt_CAU,1.0042237427949317,31,5,1.0000000011999999
20220527,Rt_CAU,0.9988210785014149,32,5,1.0000000011999999
20220527,Rt_CAU,1.0028742007965512,33,5,1.0000000011999999
